"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2014","21.1800","21.4600","21.6700","21.0800","","-1.44%"
"03/14/2014","21.4900","21.1300","21.8100","21.0900","","1.46%"
"03/13/2014","21.1800","21.2400","21.4900","21.0700","","-0.52%"
"03/12/2014","21.2900","20.8200","21.4400","20.7600","","2.01%"
"03/11/2014","20.8700","20.8000","21.3400","20.6200","","0.10%"
"03/10/2014","20.8500","20.7900","21.0700","20.5800","","-0.38%"
"03/07/2014","20.9300","21.4200","21.6100","20.6700","","-2.47%"
"03/06/2014","21.4600","21.1500","21.6300","21.0500","","1.32%"
"03/05/2014","21.1800","21.1700","21.3200","21.0800","","-0.05%"
"03/04/2014","21.1900","21.3800","21.5500","20.9800","","-1.12%"
"03/03/2014","21.4300","21.2000","21.7200","21.1900","","0.94%"
"02/28/2014","21.2300","21.2500","21.4300","21.0300","","-0.28%"
"02/27/2014","21.2900","21.2100","21.5000","20.9600","","0.14%"
"02/26/2014","21.2600","21.8300","22.0700","21.0400","","-2.66%"
"02/25/2014","21.8400","21.9700","22.0200","21.6300","","-0.77%"
"02/24/2014","22.0100","21.8100","22.2100","21.4900","","0.82%"
"02/21/2014","21.8300","21.8000","21.9600","21.5600","","0.05%"
"02/20/2014","21.8200","21.5200","21.9100","21.3900","","1.30%"
"02/19/2014","21.5400","21.8800","22.0300","21.3500","","-1.78%"
"02/18/2014","21.9300","21.6400","22.0100","21.2900","","1.11%"
"02/17/2014","21.6900","21.4400","22.0100","21.4400","","0.98%"
"02/14/2014","21.4800","20.4500","21.4900","20.3900","","4.78%"
"02/13/2014","20.5000","20.2000","20.5600","20.0800","","1.23%"
"02/12/2014","20.2500","20.2100","20.3900","20.0600","","0.00%"
"02/11/2014","20.2500","20.0300","20.2800","19.9000","","0.85%"
"02/10/2014","20.0800","20.0200","20.3200","19.9400","","0.25%"
"02/07/2014","20.0300","19.9100","20.1100","19.7300","","0.35%"
"02/06/2014","19.9600","19.8600","20.2000","19.7600","","0.40%"
"02/05/2014","19.8800","19.4500","20.2100","19.4100","","1.95%"
"02/04/2014","19.5000","19.3000","19.5600","19.2300","","0.78%"
"02/03/2014","19.3500","19.1300","19.6300","19.0400","","1.04%"
"01/31/2014","19.1500","19.1400","19.5100","19.0500","","-0.05%"
"01/30/2014","19.1600","19.7100","19.8000","18.9700","","-3.04%"
"01/29/2014","19.7600","19.5500","19.9800","19.4200","","0.87%"
"01/28/2014","19.5900","19.6800","19.8600","19.4200","","-0.66%"
"01/27/2014","19.7200","19.9000","20.0900","19.5400","","-0.95%"
"01/24/2014","19.9100","19.9900","20.3200","19.6700","","-0.65%"
"01/23/2014","20.0400","19.7300","20.3400","19.6100","","1.31%"
"01/22/2014","19.7800","19.8500","19.9800","19.7100","","-0.60%"
"01/21/2014","19.9000","20.2600","20.3700","19.6500","","-2.02%"
"01/20/2014","20.3100","20.2700","20.4600","20.2300","","0.15%"
"01/17/2014","20.2800","20.0800","20.4300","19.9400","","0.90%"
"01/16/2014","20.1000","20.1700","20.2900","19.9300","","-0.45%"
"01/15/2014","20.1900","20.2100","20.3000","19.9000","","-0.35%"
"01/14/2014","20.2600","20.3900","20.6300","20.1100","","-0.69%"
"01/13/2014","20.4000","20.1200","20.4900","19.9200","","1.34%"
"01/10/2014","20.1300","19.5500","20.2700","19.4800","","2.76%"
"01/09/2014","19.5900","19.5000","19.7300","19.3800","","0.20%"
"01/08/2014","19.5500","19.8300","19.9100","19.2800","","-1.66%"
"01/07/2014","19.8800","20.1500","20.2800","19.6100","","-1.44%"
"01/06/2014","20.1700","20.1400","20.3500","19.9100","","0.15%"
"01/03/2014","20.1400","19.9700","20.3200","19.9000","","0.60%"
"01/02/2014","20.0200","19.3500","20.2400","19.3400","","3.46%"
"01/01/2014","19.3500","19.3500","19.8300","18.8000","","-0.57%"
"12/31/2013","19.4600","19.5300","19.8500","18.8000","","-0.61%"
"12/30/2013","19.5800","20.0200","20.2000","19.4500","","-2.49%"
"12/27/2013","20.0800","19.7200","20.1500","19.7000","","1.57%"
"12/26/2013","19.7700","19.4600","20.0600","19.3800","","1.33%"
"12/25/2013","19.5100","19.4500","19.5400","19.4500","","0.52%"
"12/24/2013","19.4100","19.4000","19.6100","19.2800","","-0.21%"
"12/23/2013","19.4500","19.3400","19.5400","19.2500","","0.36%"
"12/20/2013","19.3800","19.2700","19.5300","19.1000","","0.62%"
"12/19/2013","19.2600","19.7300","19.9100","19.0900","","-2.58%"
"12/18/2013","19.7700","19.8700","20.2900","19.6200","","-0.75%"
"12/17/2013","19.9200","19.9300","20.2700","19.6500","","-0.30%"
"12/16/2013","19.9800","19.6300","20.3200","19.4200","","1.42%"
"12/13/2013","19.7000","19.4800","19.7900","19.2700","","1.08%"
"12/12/2013","19.4900","20.2800","20.3700","19.3900","","-3.99%"
"12/11/2013","20.3000","20.3700","20.4800","20.1900","","-0.49%"
"12/10/2013","20.4000","19.8400","20.4700","19.7100","","2.67%"
"12/09/2013","19.8700","19.4400","20.0000","19.4000","","1.90%"
"12/06/2013","19.5000","19.3300","19.8000","19.2100","","0.62%"
"12/05/2013","19.3800","19.6700","19.7700","19.1900","","-1.57%"
"12/04/2013","19.6900","19.1100","19.8900","18.8600","","2.82%"
"12/03/2013","19.1500","19.1400","19.3500","18.9400","","-0.05%"
"12/02/2013","19.1600","19.9300","19.9700","19.0800","","-4.15%"
"11/29/2013","19.9900","19.6100","20.1100","19.6100","","1.32%"
"11/28/2013","19.7300","19.6400","19.8100","19.5200","","0.31%"
"11/27/2013","19.6700","19.8500","20.1300","19.5800","","-1.06%"
"11/26/2013","19.8800","20.2700","20.3300","19.7500","","-2.17%"
"11/25/2013","20.3200","19.8100","20.3200","19.5400","","2.21%"
"11/22/2013","19.8800","19.9300","20.0700","19.7900","","-0.45%"
"11/21/2013","19.9700","19.8200","20.0900","19.6800","","0.66%"
"11/20/2013","19.8400","20.3500","20.5100","19.7600","","-2.60%"
"11/19/2013","20.3700","20.3700","20.5300","20.1500","","-0.20%"
"11/18/2013","20.4100","20.7400","20.8400","20.2700","","-1.92%"
"11/15/2013","20.8100","20.7800","20.8800","20.5400","","0.10%"
"11/14/2013","20.7900","20.5400","20.9400","20.5300","","0.97%"
"11/13/2013","20.5900","20.6700","20.8800","20.4000","","-0.63%"
"11/12/2013","20.7200","21.3400","21.3700","20.5400","","-3.04%"
"11/11/2013","21.3700","21.4600","21.5000","21.2100","","-0.65%"
"11/08/2013","21.5100","21.6400","21.8500","21.2200","","-0.69%"
"11/07/2013","21.6600","21.8000","22.0000","21.3600","","-0.73%"
"11/06/2013","21.8200","21.6800","22.0600","21.5800","","0.55%"
"11/05/2013","21.7000","21.6100","21.7800","21.5200","","0.14%"
"11/04/2013","21.6700","21.8300","21.9500","21.5500","","-0.87%"
